Pfingstsonntag	PP	08.06.2025	09:00		0	2	2	2	3	6	4	2
Fronleichnahm	PP	19.06.2025	09:00		0	2	2	6	3	8	4	2
Patrozinium/ Heimatfest	PP	29.06.2025	09:00		0	2	2	2	3	12	4	2
Termin nach Miniausflug	PP	05.07.2025	18:30	die einteilen, die nicht beim Miniausflug sind
Familiengottesdienst	MK	20.07.2025	11:00		0	2	3	2
