0	1	03.08.2025	08.08.2025
0	2	03.08.2025	08.08.2025
0	4	03.08.2025	08.08.2025
0	8	03.08.2025	08.08.2025
0	12	03.08.2025	09.08.2025
0	15	03.08.2025	08.08.2025
0	17	03.08.2025	08.08.2025
0	27	03.08.2025	08.08.2025
0	28	03.08.2025	08.08.2025
0	30	03.08.2025	08.08.2025
0	31	03.08.2025	08.08.2025
0	32	03.08.2025	08.08.2025
0	37	03.08.2025	20.08.2025
0	37	26.06.2025	30.06.2025
0	37	09.06.2025	22.06.2025
0	38	03.08.2025	20.08.2025
0	38	26.06.2025	30.06.2025
0	38	09.06.2025	22.06.2025
0	39	03.08.2025	08.08.2025
0	40	03.08.2025	08.08.2025
0	45	27.07.2025	31.12.2025
0	45	16.06.2025	20.06.2025
0	45	08.06.2025	14.06.2025
