Pfingsmontag	MK	06.05.2025	11:00		0	2	3	2
Fingsmontag	PP	08.06.2025	09:00		0	2	3	2
Fronnleichnahm 	PP	19.06.2025	09:00	vor dem alten Hospital treffpunkt PP	0	2	2	2	3	12	4	2
Patrozinium/ Heimatfest	PP	29.06.2025	09:00	test	0	2	2	2	3	12	4	2
Familiengottesdienst	MK	20.07.2025	11:00	locherer tanner schick	0	2	3	6
Pfarrgarten	PP	22.07.2025	11:00	Bei schlechtem Wetter in PP 	0	2	3	6
Firmung	MK	25.07.2025	10:00	Probetermin nicht bekannt 	0	4	1	1
Maria Himmelfahrt 	MK	15.08.2025	18:30	noch nicht sicher 	0	2	2	2	3	2	4	2
Krankensalbung 	MK	28.08.2025	11:00	Die Messe wird etwas länger als normal dauern 	0	2	3	2
